10:28:55,345 DEBUG BasicTypeRegistry:401 - Adding type registration timestamp -> org.hibernate.type.BasicTypeReference@79dc5318
10:28:55,346 DEBUG BasicTypeRegistry:401 - Adding type registration java.sql.Timestamp -> org.hibernate.type.BasicTypeReference@79dc5318
10:28:55,346 DEBUG BasicTypeRegistry:401 - Adding type registration java.util.Date -> org.hibernate.type.BasicTypeReference@79dc5318
10:28:55,346 DEBUG BasicTypeRegistry:401 - Adding type registration calendar -> org.hibernate.type.BasicTypeReference@8e50104
10:28:55,346 DEBUG BasicTypeRegistry:401 - Adding type registration java.util.Calendar -> org.hibernate.type.BasicTypeReference@8e50104
10:28:55,346 DEBUG BasicTypeRegistry:401 - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.BasicTypeReference@8e50104
10:28:55,346 DEBUG BasicTypeRegistry:401 - Adding type registration calendar_date -> org.hibernate.type.BasicTypeReference@37e4d7bb
10:28:55,346 DEBUG BasicTypeRegistry:401 - Adding type registration calendar_time -> org.hibernate.type.BasicTypeReference@6f7923a5
10:28:55,346 DEBUG BasicTypeRegistry:401 - Adding type registration instant -> org.hibernate.type.BasicTypeReference@74a6f9c1
10:28:55,346 DEBUG BasicTypeRegistry:401 - Adding type registration java.time.Instant -> org.hibernate.type.BasicTypeReference@74a6f9c1
10:28:55,346 DEBUG BasicTypeRegistry:401 - Adding type registration uuid -> org.hibernate.type.BasicTypeReference@54eb2b70
10:28:55,346 DEBUG BasicTypeRegistry:401 - Adding type registration java.util.UUID -> org.hibernate.type.BasicTypeReference@54eb2b70
10:28:55,346 DEBUG BasicTypeRegistry:401 - Adding type registration pg-uuid -> org.hibernate.type.BasicTypeReference@54eb2b70
10:28:55,347 DEBUG BasicTypeRegistry:401 - Adding type registration uuid-binary -> org.hibernate.type.BasicTypeReference@45a37759
10:28:55,347 DEBUG BasicTypeRegistry:401 - Adding type registration uuid-char -> org.hibernate.type.BasicTypeReference@63611043
10:28:55,347 DEBUG BasicTypeRegistry:401 - Adding type registration class -> org.hibernate.type.BasicTypeReference@20ca951f
10:28:55,347 DEBUG BasicTypeRegistry:401 - Adding type registration java.lang.Class -> org.hibernate.type.BasicTypeReference@20ca951f
10:28:55,347 DEBUG BasicTypeRegistry:401 - Adding type registration currency -> org.hibernate.type.BasicTypeReference@2d778add
10:28:55,347 DEBUG BasicTypeRegistry:401 - Adding type registration Currency -> org.hibernate.type.BasicTypeReference@2d778add
10:28:55,347 DEBUG BasicTypeRegistry:401 - Adding type registration java.util.Currency -> org.hibernate.type.BasicTypeReference@2d778add
10:28:55,347 DEBUG BasicTypeRegistry:401 - Adding type registration locale -> org.hibernate.type.BasicTypeReference@73302995
10:28:55,347 DEBUG BasicTypeRegistry:401 - Adding type registration java.util.Locale -> org.hibernate.type.BasicTypeReference@73302995
10:28:55,347 DEBUG BasicTypeRegistry:401 - Adding type registration serializable -> org.hibernate.type.BasicTypeReference@1838ccb8
10:28:55,348 DEBUG BasicTypeRegistry:401 - Adding type registration java.io.Serializable -> org.hibernate.type.BasicTypeReference@1838ccb8
